village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score,geo_area_ha,population_density_per_ha,male_population,female_population,pct_forest,pct_barren_uncultivable,pct_net_sown,pct_fallow,pct_pastures,irrigation_coverage_pct,road_connectivity_score,healthcare_access_score,drainage_quality_score,nearest_town_dist_km,district_hq_dist_km,tapwater_treated,tubewell_borehole,river_canal_present,surface_water_exposure,elevation_m_EXTERNAL_TOFILL,distance_to_river_km_EXTERNAL_TOFILL,rainfall_24hr_max_mm_EXTERNAL_TOFILL,flood_hazard_score_TARGET,runoff_coefficient_EXTERNAL_TOFILL,flood_hazard_score_FROM_MODEL1,erosion_risk_score_FROM_MODEL2,cloudburst_exceedance_probability_FROM_MODEL3,landslide_susceptibility_score_FROM_MODEL4,relocation_urgency_index,vulnerability_ratio,hazard_x_density,distance_x_risk,water_risk
520981,Baripura,Dabhoi,22.112979,73.33336,720.0,168.0,30.83,0.599,Medium (Mitigation),431.28,388.0,1.856,371.0,349.0,0.0,3.87,79.9,0.0,0.0,80.65,2,0,0,9.0,27.0,0.0,1.0,0.0,1,95.0,0.745,246.4,0.497,0.51,0.497,0.98,0.935,0.605,431.28,14.68095238095238,1.111744,5.391,0.497
520980,Vakhatpura,Dabhoi,22.115875,73.315005,180.0,47.0,38.89,0.642,Medium (Mitigation),115.56,181.0,0.994,91.0,89.0,0.0,0.0,73.48,0.0,0.0,75.19,1,0,0,11.0,30.0,0.0,1.0,1.0,1,87.5,0.444,244.0,0.528,0.48,0.528,0.98,0.881,0.576,115.56,35.35454545454545,0.638148,7.062,0.528
520991,Habipura,Dabhoi,22.106409,73.353946,1688.0,373.0,34.95,0.558,Medium (Mitigation),941.904,979.0,1.724,891.0,797.0,0.0,8.69,87.93,0.0,3.07,93.02,3,0,0,6.0,36.0,0.0,1.0,0.0,1,100.0,0.516,246.4,0.512,0.5,0.512,0.98,0.927,0.584,941.9040000000001,11.274193548387098,0.9619920000000001,3.3480000000000003,0.512
520978,Chhatral,Dabhoi,22.109304,73.290473,1170.0,260.0,38.21,0.573,Medium (Mitigation),670.41,548.0,2.135,610.0,560.0,0.0,2.19,84.12,0.0,12.77,81.13,2,1,2,15.0,45.0,0.0,1.0,0.0,1,92.5,0.123,245.6,0.541,0.51,0.541,0.98,0.912,0.593,670.41,18.195238095238096,1.2233549999999997,8.594999999999999,0.541
520977,Khanpur,Dabhoi,22.11699,73.276368,918.0,192.0,35.19,0.598,Medium (Mitigation),548.9639999999999,426.0,2.155,463.0,455.0,0.0,19.01,76.06,0.0,4.93,61.73,2,0,1,19.0,25.0,0.0,1.0,1.0,1,97.5,1.494,245.6,0.445,0.51,0.445,0.98,0.95,0.614,548.9639999999999,16.757142857142856,1.28869,11.362,0.445
520994,Menpura,Dabhoi,22.106381,73.232355,1048.0,241.0,57.25,0.522,Medium (Mitigation),547.056,447.0,2.345,543.0,505.0,0.0,0.0,84.56,0.0,0.0,79.37,2,0,2,22.0,29.0,0.0,1.0,0.0,0,100.0,1.938,248.0,0.416,0.52,0.416,0.98,0.95,0.63,547.056,27.26190476190476,1.2240900000000001,11.484,0.0
520993,Kunvarpura,Dabhoi,22.102555,73.268697,482.0,109.0,16.8,0.66,High (Relocation Priority),318.12,289.0,1.668,250.0,232.0,0.0,2.77,92.04,0.0,0.0,75.19,0,0,1,20.0,32.0,0.0,0.0,1.0,1,92.5,1.298,246.4,0.457,0.5,0.457,0.98,0.928,0.606,318.12,168.0,1.10088,13.200000000000001,0.457
521128,Bamangam,Karjan,22.103873,73.192831,1884.0,418.0,21.76,0.508,Medium (Mitigation),957.072,725.0,2.599,951.0,933.0,0.0,3.98,45.38,44.09,0.0,100.0,3,1,1,9.0,25.0,0.0,1.0,1.0,1,92.5,0.66,247.2,0.507,0.53,0.507,0.98,0.924,0.598,957.072,7.019354838709678,1.320292,4.572,0.507
519905,Samsabad,Vadodara Rural,22.120986,73.265597,801.0,180.0,39.08,0.574,Medium (Mitigation),459.774,617.0,1.298,439.0,362.0,0.0,2.32,92.86,0.0,2.14,28.85,2,0,1,21.0,21.0,0.0,1.0,1.0,1,97.5,2.616,246.4,0.363,0.49,0.363,0.98,0.95,0.615,459.77399999999994,18.609523809523807,0.7450519999999999,12.053999999999998,0.363
520987,Navi Mangrol,Dabhoi,22.095945,73.471121,394.0,94.0,52.79,0.62,Medium (Mitigation),244.28,235.0,1.677,212.0,182.0,0.0,0.0,80.08,0.0,7.63,100.0,2,0,0,8.0,36.0,0.0,0.0,1.0,1,85.0,0.615,246.4,0.531,0.5,0.531,0.98,0.864,0.563,244.28,25.138095238095236,1.03974,4.96,0.531
