village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET,accessibility_score,final_suitability
520984,Karnet,Dabhoi,22.114336,73.484308,766.0,11.21,7.04,2044.0,2.668,1,1,0,0.0,1.0,8.0,40.0,0.52,0.574,266.4,173740.0,0,Private / Mixed,Medium,High,0.582,11987,0.1234567901234568,1.5504479999999998
520983,Boriyad,Dabhoi,22.120655,73.460479,325.0,21.78,9.2,1024.0,3.151,2,0,2,0.0,0.0,3.0,30.0,0.372,0.595,112.4,87040.0,0,Private / Mixed,Medium,High,0.73,5058,0.3225806451612903,0.82052
520988,Dharmpuri,Dabhoi,22.10525,73.445468,906.0,9.82,1.77,1732.0,1.912,3,0,2,0.0,1.0,4.0,35.0,0.492,0.599,317.1,147220.0,0,Private / Mixed,Medium,High,0.888,14269,0.24390243902439027,2.8158480000000004
520986,Juni Mangrol,Dabhoi,22.104319,73.475881,222.0,9.01,4.5,475.0,2.14,2,0,0,0.0,1.0,7.0,38.0,0.514,0.595,77.7,40375.0,0,Private / Mixed,Medium,High,0.634,3496,0.14084507042253522,0.492618
251213,Dabhoi,Dabhoi,22.132821,73.43051,0.0,3.5549999999999997,2.8899999999999997,51240.0,2.3600000000000003,0,0,0,0.0,0.0,0.0,35.0,0.353,0.597,0.0,4355400.0,0,Private / Mixed,Medium,High,0.307,0,10.0,0.0
521017,Kayavarohan,Dabhoi,22.075851,73.250283,3361.0,0.0,2.98,8409.0,2.502,3,1,1,0.0,1.0,18.0,30.0,0.476,0.605,1156.7,714765.0,0,Private / Mixed,Medium,Moderate,0.893,52051,0.055248618784530384,10.329331
520995,Puniyad,Dabhoi,22.100616,73.213227,553.0,0.0,1.99,1544.0,2.792,2,1,2,0.0,1.0,13.0,22.0,0.502,0.614,188.0,131240.0,0,Private / Mixed,Medium,High,0.732,8460,0.07633587786259542,1.3761599999999998
520992,Kothara,Dabhoi,22.101065,73.306994,427.0,0.47,5.85,824.0,1.93,2,0,0,0.0,1.0,15.0,32.0,0.494,0.584,149.4,70040.0,0,Private / Mixed,Medium,Moderate,0.739,6723,0.06622516556291391,1.104066
520990,Sathod,Dabhoi,22.088947,73.380113,1806.0,0.11,2.71,3682.0,2.039,3,1,0,0.0,1.0,5.0,35.0,0.511,0.594,627.5,312970.0,0,Private / Mixed,Medium,High,0.882,28237,0.19607843137254904,5.53455
520997,Sultanpura,Dabhoi,22.081722,73.275647,248.0,0.0,12.1,559.0,2.254,2,0,0,0.0,1.0,18.0,21.0,0.513,0.605,86.8,47515.0,0,Private / Mixed,Medium,Moderate,0.645,3906,0.055248618784530384,0.55986
520996,Fofaliya,Dabhoi,22.077858,73.207523,455.0,0.88,6.61,985.0,2.165,1,0,2,0.0,1.0,13.0,22.0,0.426,0.621,159.2,83725.0,0,Private / Mixed,Medium,High,0.608,7163,0.07633587786259542,0.9679359999999998
521015,Pisai,Dabhoi,22.065104,73.353468,680.0,0.0,7.49,1396.0,2.053,2,0,1,0.0,1.0,12.0,44.0,0.423,0.607,238.0,118660.0,0,Private / Mixed,Medium,High,0.761,10710,0.08264462809917356,1.81118
521014,Shirola,Dabhoi,22.056849,73.383541,616.0,0.0,0.0,1599.0,2.596,3,0,2,0.0,1.0,9.0,42.0,0.5,0.63,215.6,135915.0,0,Private / Mixed,Medium,High,0.881,9702,0.10989010989010989,1.8994360000000001
521016,Karmal,Dabhoi,22.058746,73.302368,459.0,0.0,7.19,1401.0,3.052,2,1,2,0.0,1.0,14.0,40.0,0.451,0.598,160.6,119085.0,0,Private / Mixed,Medium,High,0.752,7227,0.07092198581560284,1.207712
521018,Lingsthali,Dabhoi,22.042229,73.252039,862.0,0.0,7.19,1935.0,2.245,1,1,1,0.0,1.0,26.0,36.0,0.486,0.639,301.7,164475.0,0,Private / Mixed,Medium,Moderate,0.584,13576,0.038314176245210725,1.7619279999999997
521019,Bananj,Dabhoi,22.024348,73.233382,418.0,0.0,2.63,835.0,1.998,2,0,0,0.0,1.0,14.0,34.0,0.368,0.617,146.3,70975.0,0,Private / Mixed,Medium,High,0.774,6583,0.07092198581560284,1.132362
521143,Dhanora,Karjan,22.081782,73.187754,322.0,3.03,0.61,741.0,2.301,2,0,1,0.0,1.0,8.0,34.0,0.426,0.609,112.7,62985.0,0,Private / Mixed,Medium,High,0.71,5071,0.1234567901234568,0.8001699999999999
521144,Gandhara,Karjan,22.053571,73.215055,780.0,1.28,8.97,1828.0,2.344,3,0,1,0.0,1.0,9.0,35.0,0.382,0.639,273.0,155380.0,0,Private / Mixed,Medium,High,0.92,12285,0.10989010989010989,2.5116
521145,Ganpatpura,Karjan,22.055872,73.196843,798.0,2.51,4.01,1466.0,1.837,3,1,1,0.0,1.0,7.0,30.0,0.447,0.64,279.3,124610.0,0,Private / Mixed,Medium,High,0.898,12568,0.14084507042253522,2.5081140000000004
