village_code,village_name,subdistrict,latitude,longitude,geo_area_ha,pct_non_agri_builtup,pct_barren_uncultivable,total_population,population_density_per_ha,road_connectivity_score,healthcare_access_score,drainage_quality_score,tapwater_treated,tubewell_borehole,nearest_town_dist_km,district_hq_dist_km,flood_hazard_score_FROM_MODEL1,landslide_susceptibility_score_FROM_MODEL4,buildable_area_ha_EXTERNAL_TOFILL,water_supply_capacity_lpd_EXTERNAL_TOFILL,protected_forest_wetland_overlap_EXTERNAL_TOFILL,land_ownership_status_EXTERNAL_TOFILL,land_acquisition_feasibility_EXTERNAL_TOFILL,employment_market_access_EXTERNAL_TOFILL,site_suitability_score_TARGET,estimated_carrying_capacity_TARGET
520989,Gamdi Kanayada,Dabhoi,22.095686,73.413239,433.0,4.86,9.95,981.0,2.266,2,0,0,0.0,1.0,5.0,40.0,0.536,0.596,151.5,83385.0,0,Private / Mixed,Medium,High,0.723,6817
521003,Dharmapura,Dabhoi,22.085604,73.534557,138.0,0.0,2.9,338.0,2.449,3,0,0,0.0,1.0,17.0,49.0,0.506,0.582,47.3,28730.0,0,Private / Mixed,Medium,Moderate,0.749,2128
521012,Vadaj,Dabhoi,22.075049,73.438367,1387.0,0.0,10.97,2266.0,1.634,2,1,2,0.0,1.0,7.0,45.0,0.424,0.617,485.4,192610.0,0,Private / Mixed,Medium,High,0.759,21843
521002,Bhilodiya,Dabhoi,22.079777,73.507412,624.0,0.0,13.62,1251.0,2.005,3,1,0,0.0,0.0,15.0,50.0,0.456,0.596,218.4,106335.0,0,Private / Mixed,Medium,Moderate,0.901,9828
521000,Kanayada,Dabhoi,22.076657,73.405223,377.0,6.1,2.92,1421.0,3.769,2,0,0,0.0,1.0,5.0,40.0,0.424,0.629,132.0,120785.0,0,Private / Mixed,Medium,High,0.733,5940
521010,Chanwada,Dabhoi,22.064168,73.468113,470.0,2.13,0.0,1686.0,3.587,3,1,0,0.0,1.0,11.0,41.0,0.486,0.587,164.5,143310.0,0,Private / Mixed,Medium,High,0.892,7402
521004,Para,Dabhoi,22.072918,73.531128,177.0,0.0,2.26,211.0,1.192,2,0,0,0.0,1.0,16.0,48.0,0.549,0.585,61.6,17935.0,0,Private / Mixed,Medium,Moderate,0.602,2772
521006,Asgol,Dabhoi,22.064052,73.533433,212.0,0.94,4.69,352.0,1.66,2,1,0,0.0,1.0,17.0,49.0,0.494,0.563,74.2,29920.0,0,Private / Mixed,Medium,Moderate,0.642,3339
521007,Araniya,Dabhoi,22.058945,73.527337,211.0,0.0,4.72,417.0,1.976,2,0,0,0.0,1.0,15.0,47.0,0.528,0.571,72.8,35445.0,0,Private / Mixed,Medium,Moderate,0.627,3276
521013,Ten Talav,Dabhoi,22.049604,73.413979,1401.0,0.0,6.99,3013.0,2.151,2,1,2,0.0,1.0,12.0,42.0,0.413,0.657,479.2,256105.0,0,Private / Mixed,Medium,High,0.757,21564
521009,Asodara,Dabhoi,22.048387,73.5033,665.0,0.15,19.1,746.0,1.122,2,0,2,0.0,1.0,15.0,47.0,0.443,0.584,232.7,63410.0,0,Government Revenue Land,High,Moderate,0.757,10471
521008,Nagdol,Dabhoi,22.053618,73.516519,281.0,2.49,11.03,557.0,1.982,2,0,0,0.0,1.0,17.0,49.0,0.539,0.574,98.4,47345.0,0,Private / Mixed,Medium,Moderate,0.656,4428
521011,Ordi,Dabhoi,22.050937,73.459476,263.0,0.76,15.91,742.0,2.821,2,0,0,0.0,1.0,13.0,43.0,0.536,0.564,92.0,63070.0,0,Government Revenue Land,High,High,0.65,4140
521022,Paragam,Dabhoi,22.040225,73.47484,223.0,20.18,0.0,582.0,2.61,2,0,0,0.0,1.0,10.0,40.0,0.533,0.555,78.0,49470.0,0,Private / Mixed,Medium,High,0.634,3510
521021,Rajpura,Dabhoi,22.034954,73.452827,293.0,0.68,10.54,759.0,2.59,2,1,1,0.0,0.0,17.0,57.0,0.492,0.566,102.6,64515.0,0,Private / Mixed,Medium,Moderate,0.68,4617
521026,Gumanpura,Dabhoi,22.027967,73.466711,204.0,0.0,22.55,365.0,1.789,1,0,0,0.0,0.0,14.0,40.0,0.508,0.583,71.4,31025.0,0,Government Revenue Land,High,High,0.48,3213
521025,Bhumasiya,Dabhoi,22.029212,73.484929,107.0,0.0,0.0,427.0,3.991,2,0,0,0.0,1.0,15.0,45.0,0.528,0.595,37.4,36295.0,0,Private / Mixed,Medium,Moderate,0.576,1683
521024,Sompura,Dabhoi,22.025399,73.498561,213.0,1.41,2.82,581.0,2.728,2,0,0,0.0,1.0,12.0,42.0,0.492,0.59,72.8,49385.0,0,Private / Mixed,Medium,High,0.636,3276
521030,Jesangpura,Dabhoi,22.019937,73.480743,297.0,0.34,0.0,102.0,0.343,2,0,0,0.0,1.0,12.0,42.0,0.499,0.576,91.7,8670.0,0,Private / Mixed,Medium,High,0.661,4126
521027,Sanor,Dabhoi,22.01772,73.454152,638.0,0.0,12.09,1258.0,1.972,2,1,0,0.0,0.0,23.0,58.0,0.443,0.668,223.3,106930.0,0,Private / Mixed,Medium,Moderate,0.745,10048
