village_code,village_name,subdistrict,latitude,longitude,total_population,total_households,sc_st_population_share_pct,composite_risk_score_FROM_MODEL5,priority_category_FROM_MODEL5,urgency_score
521227,Tinglod,Sinor,21.990449,73.25099,819.0,194.0,44.2,0.47,Medium (Mitigation),384.92999999999995
521122,Abhara,Karjan,22.088832,73.023087,1059.0,245.0,61.66,0.64,Medium (Mitigation),677.76
521142,Kandari,Karjan,22.080348,73.151713,4295.0,973.0,46.87,0.539,Medium (Mitigation),2315.005
521132,Kurai,Karjan,22.077144,73.102052,1473.0,344.0,60.9,0.577,Medium (Mitigation),849.9209999999999
521134,Handod,Karjan,22.074506,73.054631,2095.0,466.0,30.69,0.439,Medium (Mitigation),919.705
521133,Khandha,Karjan,22.070567,73.073476,1362.0,259.0,23.42,0.576,Medium (Mitigation),784.512
521136,Chorbhuj,Karjan,22.061192,73.010019,1128.0,254.0,28.99,0.576,Medium (Mitigation),649.728
521123,Sambhoi,Karjan,22.107029,73.03894,1257.0,253.0,32.22,0.607,Medium (Mitigation),762.999
521124,Surwada,Karjan,22.107989,73.055006,1382.0,299.0,23.44,0.505,Medium (Mitigation),697.91
521121,Virjai,Karjan,22.100334,73.001793,1738.0,397.0,29.92,0.541,Medium (Mitigation),940.258
521126,Pingalwada,Karjan,22.108714,73.097279,1508.0,359.0,31.83,0.511,Medium (Mitigation),770.588
521127,Harsunda,Karjan,22.10727,73.123008,463.0,105.0,58.53,0.653,High (Relocation Priority),302.339
521125,Manpur,Karjan,22.098113,73.075975,1022.0,210.0,41.1,0.52,Medium (Mitigation),531.44
521131,Anastu,Karjan,22.086903,73.114773,1899.0,420.0,44.13,0.479,Medium (Mitigation),909.621
521129,Manglej,Karjan,22.094203,73.173107,1297.0,276.0,45.1,0.486,Medium (Mitigation),630.342
521130,Kherda,Karjan,22.092915,73.136272,1211.0,221.0,17.34,0.594,Medium (Mitigation),719.334
521137,Umaj,Karjan,22.055899,72.964382,1167.0,245.0,34.53,0.553,Medium (Mitigation),645.351
521146,Vemardi,Karjan,22.052172,73.172982,1212.0,256.0,51.4,0.486,Medium (Mitigation),589.032
